Player,College,Draft_yr,fnl_coll_rpi,Success,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,clg_gms_plyed,pts_ppg,trb,ast,fg2_pct,fg3_pct,ft_pct,Guards,Forwards,Centers,Drafted,nba_gms_plyed
Damion James,Texas,2009,38,0,23,24,78.25,79.5,84.75,106,37,143,30,136,224,8.2,9.25,8.5,142,13.5,9.3,1.1,47.9,36.4,64,0,1,0,1,39
Greivis Vasquez,Maryland,2009,50,1,24,28,76.75,78,79.25,101,28,129,24.5,125.5,197,6.9,7.75,9.25,136,16,4.8,5.7,42.5,32.9,82.8,1,0,0,1,401
Gani Lawal,Georgia Tech,2009,142,0,22,46,79.75,81,84,106,34.5,140.5,30,136,229,7.2,8.5,10,99,11.8,7.2,0.4,54.8,0,55.2,0,1,0,1,1
Luke Harangody,Notre Dame,2009,70,0,23,52,78.25,80,81.75,106,31,137,27,133,240,11.2,8.75,9.75,129,19.2,9.5,1.6,47.6,32.6,78.2,0,1,0,1,70
John Wall,Kentucky,2010,3,1,20,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,37,16.6,4.3,6.5,46.1,32.5,75.4,1,0,0,1,541
Evan Turner,Ohio State,2010,20,1,22,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,101,15,6.8,4.1,50.2,36.2,75.8,1,0,0,1,613
Derrick Favors,Georgia Tech,2010,29,1,19,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,36,12.4,8.4,1,61.1,0,62.9,0,1,0,1,556
Wesley Johnson,Syracuse,2010,6,1,21,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,93,13.9,7,1.6,45.4,34.9,76.8,1,0,0,1,571
DeMarcus Cousins,Kentucky,2010,3,1,20,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,38,15.1,9.8,1,55.8,16.7,60.4,0,0,1,1,535
Ekpe Udoh,Baylor,2010,8,1,23,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,103,8.4,6.3,1.5,47.2,28.9,64.9,0,0,1,1,333
