Player,Position,Seasons_plyd,Still_in_league,Tms_played_for,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,G,GS,MP,PER,FG,FGA,FG_pct,three_pt,three_pt_att,three_pt_pct,two_pt,two_pt_att,two_pt_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Aaron Gordon,PF,3,1,1,19,4,79.5,80.75,83.75,105,39,144,32.5,137.5,220,5.1,8.75,10.5,205,117,4958,14.27,760,1652,0.458,132,457,0.285,628,1195,0.52,329,471,0.703,316,765,1081,311,144,117,193,1981
Adonis Thomas,SF,1,0,3,20,0,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,9.25,9.5,12,2,74,7.73,12,28,0.454,2,10,0.233,10,18,0.574,2,2,0.667,0,6,6,6,0,0,2,28
Alec Burks,SG,6,1,1,20,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,301,42,6618,13.37,1053,2458,0.42,181,503,0.36,872,1955,0.435,747,993,0.755,205,672,877,534,184,46,412,3034
Alex Kirk,C,1,0,1,23,0,81.25,82.75,87.5,109.5,31.5,141,28.5,138,252,13.6,9.25,10.5,5,0,14,8.5,1,4,0.25,0,0,0,1,4,0.25,2,2,1,1,0,1,1,0,0,0,4
Al-Farouq Aminu,SF,7,1,5,20,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,520,281,12520,12.21,1398,3281,0.425,305,942,0.291,1093,2339,0.464,665,917,0.726,727,2221,2948,639,494,307,667,3766
Allen Crabbe,SG,4,1,1,21,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,226,24,5142,10.05,689,1511,0.426,282,686,0.405,407,825,0.449,218,257,0.804,54,469,523,237,138,52,144,1878
Andre Drummond,C,5,1,1,19,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,385,335,11439,21.54,2216,4043,0.559,5,19,0.224,2211,4024,0.561,683,1793,0.384,1786,3160,4946,276,476,580,594,5120
Andre Roberson,SG,4,1,1,22,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,256,230,5614,9.48,476,1006,0.476,100,385,0.239,376,621,0.598,110,223,0.553,273,729,1002,211,219,160,151,1162
Andrew Goudelock,SG,3,0,2,23,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,49,0,475,4.8,77,196,0.28,29,84,0.161,48,112,0.377,14,16,0.556,7,27,34,24,10,2,28,197
Andrew Nicholson,PF,5,1,4,23,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,323,36,4422,9.61,751,1628,0.432,92,298,0.221,659,1330,0.481,206,269,0.748,203,715,918,136,90,101,229,1800
Andy Rautins,SG,1,0,1,24,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,5,0,24,-1.2,3,7,0.429,1,4,0.25,2,3,0.667,1,2,0.5,0,1,1,3,1,0,7,8
Archie Goodwin,SG,4,1,4,19,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,180,15,2610,14.93,403,922,0.461,50,206,0.301,353,716,0.5,294,415,0.765,93,266,359,230,73,43,220,1150
Armon Johnson,PG,2,0,3,21,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,56,0,525,13.85,86,187,0.593,7,18,0.271,79,169,0.6,25,34,0.648,13,49,62,67,15,1,50,204
Arnett Moultrie,PF,2,0,1,22,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,59,2,729,11.7,94,172,0.502,0,0,0,94,172,0.502,22,33,0.722,87,93,180,12,25,14,26,210
Austin Rivers,SG,5,1,4,20,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,423,76,9401,10.14,1292,3103,0.411,315,931,0.326,977,2172,0.447,550,840,0.651,138,695,833,900,263,65,457,3449
Avery Bradley,PG,7,1,1,20,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,413,340,11619,10.59,2025,4578,0.431,520,1421,0.317,1505,3157,0.463,438,567,0.736,275,989,1264,702,446,87,565,5008
Ben McLemore,SG,4,1,1,20,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,293,216,7476,9.13,993,2384,0.418,367,1043,0.356,626,1341,0.466,389,499,0.772,137,617,754,352,203,53,395,2742
Bernard James,C,3,0,1,27,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,92,13,761,13.07,76,153,0.479,0,3,0,76,150,0.49,51,75,0.675,85,127,212,13,17,61,34,203
Bradley Beal,SG,5,1,1,19,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,324,290,10774,15.5,2122,4808,0.437,663,1661,0.398,1459,3147,0.461,821,1032,0.79,248,904,1152,1003,334,97,610,5728
Brandon Davies,PF,2,0,3,22,0,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,9,11,105,12,1421,9.3,164,402,0.392,18,78,0.23,146,324,0.432,82,127,0.669,114,161,275,88,60,22,93,428
Brandon Knight,PG,6,1,4,20,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,445,381,13974,14.16,2467,5935,0.409,750,2073,0.356,1717,3862,0.438,1206,1468,0.823,250,1271,1521,1959,444,80,1208,6890
C.J. McCollum,SG,4,1,1,22,10,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,8,9.5,260,163,7025,14.93,1566,3415,0.445,467,1131,0.402,1099,2284,0.47,529,627,0.779,128,561,689,717,226,75,451,4128
C.J. Wilcox,SG,3,1,2,24,28,75.5,77,81.75,100.5,37.5,138,31,131.5,201,6.5,8.75,9,66,0,376,8.1,50,135,0.358,19,57,0.32,31,78,0.394,13,16,0.917,6,25,31,30,15,4,18,132
Cameron Bairstow,PF,2,0,1,24,49,80.75,81.75,84.75,107,33.5,140.5,31,138,252,8.7,8.75,9,36,3,167,4.45,16,54,0.27,1,5,0.1,15,49,0.279,11,13,0.838,10,26,36,7,4,4,7,44
Carrick Felix,SG,1,0,1,23,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,7,0,38,13.3,7,14,0.5,2,5,0.4,5,9,0.556,3,4,0.75,1,5,6,4,0,0,4,19
Chandler Parsons,SF,6,1,3,23,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,374,358,12005,14.1,1948,4177,0.45,603,1615,0.359,1345,2562,0.507,587,826,0.707,337,1468,1805,1086,371,135,587,5086
Charles Jenkins,PG,2,0,3,22,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,169,30,1775,8.85,228,533,0.411,5,24,0.288,223,509,0.415,58,83,0.618,24,108,132,258,63,10,102,519
Chris Singleton,SF,3,0,1,22,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,148,62,2605,8.3,233,620,0.376,58,182,0.303,175,438,0.393,88,139,0.658,112,360,472,92,117,57,100,612
Cleanthony Early,SF,2,0,1,23,34,78,79.25,82.75,101.5,40,141.5,34,135.5,209,4.5,8.5,9,56,9,801,5.3,88,254,0.328,26,99,0.265,62,155,0.368,39,52,0.75,26,97,123,42,26,15,49,241
Cody Zeller,C,4,1,2,21,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,279,166,6402,15,828,1657,0.497,2,13,0.275,826,1644,0.5,581,792,0.734,488,1087,1575,362,193,211,282,2239
Cole Aldrich,C,7,1,7,22,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,363,23,3728,14.44,474,890,0.539,0,0,0,474,890,0.539,190,258,0.694,361,875,1236,189,140,255,221,1138
Cory Jefferson,PF,2,0,2,24,60,79.75,81,84.5,105,37.5,142.5,33,138,218,5.3,8.75,9.75,58,1,581,12.95,84,189,0.429,2,16,0.067,82,173,0.455,35,60,0.621,53,108,161,16,10,22,20,205
Cory Joseph,PG,6,1,2,20,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,364,69,7083,12.7,962,2102,0.441,115,363,0.299,847,1739,0.471,440,573,0.766,183,638,821,904,232,71,353,2479
Craig Brackins,PF,2,0,1,23,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,17,1,121,2.2,13,49,0.262,3,14,0.167,10,35,0.307,1,2,0.25,7,12,19,9,1,1,4,30
