Month,Day,Time,Node,Process,Message
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], WARNING, Login failed for user Mallory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Received SEGFAULT signal from process Eve
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Logout occurred for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, User Walter accessed file /var/log/messages
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Chuck
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Password updated for user Craig
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Disk write failure
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Unable to complete transaction - Out of memory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], WARNING, Login failed for user Mallory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Received SEGFAULT signal from process Eve
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Logout occurred for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, User Walter accessed file /var/log/messages
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Chuck
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Password updated for user Craig
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Disk write failure
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Unable to complete transaction - Out of memory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], WARNING, Login failed for user Mallory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Received SEGFAULT signal from process Eve
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Logout occurred for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, User Walter accessed file /var/log/messages
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Chuck
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Password updated for user Craig
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Disk write failure
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Unable to complete transaction - Out of memory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], WARNING, Login failed for user Mallory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Received SEGFAULT signal from process Eve
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Logout occurred for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, User Walter accessed file /var/log/messages
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Chuck
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Password updated for user Craig
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Disk write failure
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Unable to complete transaction - Out of memory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], WARNING, Login failed for user Mallory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Received SEGFAULT signal from process Eve
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Logout occurred for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, User Walter accessed file /var/log/messages
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Chuck
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Password updated for user Craig
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Disk write failure
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Unable to complete transaction - Out of memory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], WARNING, Login failed for user Mallory
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Received SEGFAULT signal from process Eve
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Logout occurred for user Alice
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, User Walter accessed file /var/log/messages
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Login successful for user Chuck
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], INFO, Password updated for user Craig
Nov,5,12:28:12 PM,12 Sohails-MBP.frontierlocal.net ./generate-log.sh[24538], SEVERE, Disk write failure
